"Species","specialization_NHD","specialization_FAG","Class","Order","Family","Habitats_IUCN","specialization"
"Coracias garrulus","human_dominated","generalist","Aves","Coraciiformes","Coraciidae","Forest - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","human_dominated"
"Corvus corax","natural","forest","Aves","Passeriformes","Corvidae","Grassland - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Temperate [Suitable]","natural"
"Corvus corone","human_dominated","generalist","Aves","Passeriformes","Corvidae","Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Forest - Temperate [Suitable]; Forest - Boreal [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]; Forest - Temperate [Suitable]; Marine Intertidal - Tidepools [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Grassland - Temperate [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]; Marine Intertidal - Tidepools [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]","human_dominated"
"Corvus frugilegus","human_dominated","generalist","Aves","Passeriformes","Corvidae","Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Forest - Temperate [Suitable]","human_dominated"
"Corvus monedula","human_dominated","generalist","Aves","Passeriformes","Corvidae","Grassland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]","human_dominated"
"Coturnix coturnix","human_dominated","agriculture","Aves","Galliformes","Phasianidae","Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Craseomys rufocanus","natural","forest","Mammalia","Rodentia","Cricetidae","Shrubland - Subarctic [Suitable]; Forest - Boreal [Suitable]; Forest - Subarctic [Suitable]; Shrubland - Boreal [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","natural"
"Crex crex","human_dominated","agriculture","Aves","Gruiformes","Rallidae","Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","human_dominated"
"Cricetus cricetus","human_dominated","agriculture","Mammalia","Rodentia","Cricetidae","Artificial/Terrestrial - Rural Gardens [Marginal]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Temperate [Suitable]","human_dominated"
"Crocidura leucodon","human_dominated","generalist","Mammalia","Soricomorpha","Soricidae","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Grassland - Temperate [Suitable]","human_dominated"
"Crocidura russula","human_dominated","agriculture","Mammalia","Soricomorpha","Soricidae","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","human_dominated"
"Crocidura suaveolens","human_dominated","generalist","Mammalia","Soricomorpha","Soricidae","Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Temperate [Suitable]","human_dominated"
"Cuculus canorus","human_dominated","generalist","Aves","Cuculiformes","Cuculidae","Forest - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Subtropical/Tropical High Altitude [Suitable]; Forest - Subtropical/Tropical Moist Montane [Suitable]; Savanna - Dry [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Forest - Temperate [Suitable]","human_dominated"
"Cuculus saturatus","human_dominated","forest","Aves","Cuculiformes","Cuculidae","Forest - Subtropical/Tropical Moist Montane [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Forest - Temperate [Suitable]; Forest - Subtropical/Tropical Moist Lowland [Suitable]; Forest - Subtropical/Tropical Moist Lowland [Suitable]","human_dominated"
"Curruca cantillans","natural","forest","Aves","Passeriformes","Sylviidae","Shrubland - Subtropical/Tropical Dry [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Savanna - Dry [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]","natural"
"Curruca communis","human_dominated","generalist","Aves","Passeriformes","Sylviidae","Grassland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Savanna - Dry [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Curruca conspicillata","natural","generalist","Aves","Passeriformes","Sylviidae","Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Desert - Hot [Suitable]","natural"
"Curruca curruca","human_dominated","generalist","Aves","Passeriformes","Sylviidae","Shrubland - Subtropical/Tropical Dry [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]; Savanna - Dry [Suitable]; Shrubland - Subtropical/Tropical Moist [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Temperate [Suitable]","human_dominated"
"Curruca hortensis","human_dominated","forest","Aves","Passeriformes","Sylviidae","Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Savanna - Dry [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Curruca melanocephala","human_dominated","generalist","Aves","Passeriformes","Sylviidae","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Forest - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Curruca nisoria","human_dominated","generalist","Aves","Passeriformes","Sylviidae","Forest - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Savanna - Dry [Suitable]","human_dominated"
"Curruca ruppeli","natural","generalist","Aves","Passeriformes","Sylviidae","Shrubland - Subtropical/Tropical Dry [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","natural"
"Curruca undata","human_dominated","forest","Aves","Passeriformes","Sylviidae","Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]","human_dominated"
"Cyanistes caeruleus","human_dominated","generalist","Aves","Passeriformes","Paridae","Forest - Subtropical/Tropical Moist Montane [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Subtropical/Tropical High Altitude [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Subtropical/Tropical High Altitude [Suitable]; Forest - Temperate [Suitable]; Desert - Hot [Suitable]; Forest - Subtropical/Tropical Moist Montane [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Desert - Hot [Suitable]; Shrubland - Temperate [Suitable]; Forest - Temperate [Suitable]","human_dominated"
"Cygnus cygnus","human_dominated","agriculture","Aves","Anseriformes","Anatidae","Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]","human_dominated"
"Cygnus olor","human_dominated","agriculture","Aves","Anseriformes","Anatidae","Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]","human_dominated"
"Dama dama","human_dominated","forest","Mammalia","Artiodactyla","Cervidae","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest [Suitable]; Shrubland - Temperate [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]","human_dominated"
"Delichon urbicum","human_dominated","generalist","Aves","Passeriformes","Hirundinidae","Grassland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Subtropical/Tropical Moist Lowland [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Grassland - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Savanna - Dry [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Dendrocopos major","human_dominated","forest","Aves","Piciformes","Picidae","Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Boreal [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]","human_dominated"
"Dinaromys bogdanovi","natural","generalist","Mammalia","Rodentia","Cricetidae","Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]","unknown"
"Dryobates minor","human_dominated","forest","Aves","Piciformes","Picidae","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Forest - Temperate [Suitable]; Forest - Boreal [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Forest - Boreal [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]","human_dominated"
"Dryocopus martius","natural","forest","Aves","Piciformes","Picidae","Forest - Boreal [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]; Forest - Temperate [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]; Forest - Temperate [Suitable]; Forest - Boreal [Suitable]","natural"
"Dryomys nitedula","human_dominated","forest","Mammalia","Rodentia","Gliridae","Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Temperate [Suitable]; Forest - Boreal [Marginal]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]; Forest - Subtropical/Tropical Moist Lowland [Suitable]","human_dominated"
"Egretta garzetta","human_dominated","generalist","Aves","Pelecaniformes","Ardeidae","Marine Neritic - Estuaries [Suitable]; Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level [Suitable]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats [Suitable]; Marine Intertidal - Tidepools [Suitable]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]","human_dominated"
"Elanus caeruleus","human_dominated","generalist","Aves","Accipitriformes","Accipitridae","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Aquatic - Aquaculture Ponds [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Artificial/Aquatic - Irrigated Land (includes irrigation channels) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Savanna - Dry [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Temperate [Suitable]","human_dominated"
"Eliomys quercinus","human_dominated","forest","Mammalia","Rodentia","Gliridae","Artificial/Terrestrial - Plantations [Marginal]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Rural Gardens [Marginal]","human_dominated"
"Emberiza aureola","human_dominated","forest","Aves","Passeriformes","Emberizidae","Shrubland - Boreal [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Emberiza bruniceps","human_dominated","agriculture","Aves","Passeriformes","Emberizidae","Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Temperate [Suitable]","human_dominated"
"Emberiza caesia","human_dominated","agriculture","Aves","Passeriformes","Emberizidae","Grassland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Marginal]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Emberiza calandra","human_dominated","agriculture","Aves","Passeriformes","Emberizidae","Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]","human_dominated"
"Emberiza cia","human_dominated","forest","Aves","Passeriformes","Emberizidae","Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Temperate [Suitable]","human_dominated"
"Emberiza cirlus","human_dominated","generalist","Aves","Passeriformes","Emberizidae","Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Emberiza citrinella","human_dominated","generalist","Aves","Passeriformes","Emberizidae","Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Forest - Temperate [Suitable]","human_dominated"
"Emberiza hortulana","human_dominated","generalist","Aves","Passeriformes","Emberizidae","Shrubland - Temperate [Marginal]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Emberiza melanocephala","human_dominated","generalist","Aves","Passeriformes","Emberizidae","Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]","human_dominated"
"Emberiza pusilla","natural","forest","Aves","Passeriformes","Emberizidae","Forest - Boreal [Suitable]; Shrubland - Boreal [Suitable]; Grassland - Tundra [Suitable]","natural"
"Emberiza rustica","natural","forest","Aves","Passeriformes","Emberizidae","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Boreal [Suitable]; Forest - Temperate [Suitable]; Shrubland - Boreal [Suitable]","natural"
"Emberiza schoeniclus","human_dominated","generalist","Aves","Passeriformes","Emberizidae","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Shrub Dominated Wetlands [Suitable]; Wetlands (inland) - Shrub Dominated Wetlands [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Forest - Temperate [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","human_dominated"
"Eptesicus nilssonii","human_dominated","generalist","Mammalia","Chiroptera","Vespertilionidae","Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Forest - Subarctic [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Forest - Boreal [Suitable]","human_dominated"
"Eptesicus serotinus","human_dominated","generalist","Mammalia","Chiroptera","Vespertilionidae","Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Marginal]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Aquatic - Irrigated Land (includes irrigation channels) [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks [Suitable]; Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]","human_dominated"
"Eremophila alpestris","human_dominated","agriculture","Aves","Passeriformes","Alaudidae","Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Boreal [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Subarctic [Suitable]; Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Grassland - Tundra [Suitable]; Grassland - Temperate [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]","human_dominated"
